Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.26      1.68     1.68 1008321168     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::operator[](int) const
  4.95      3.26     1.58 1010692671     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  2.85      4.17     0.91 91793888     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  2.23      4.88     0.71 347264400     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  2.18      5.58     0.69 1140451167     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::length()
  2.12      6.25     0.68 76775856     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> dymaxion::cartesian_from_zlon<float>(float, float)
  2.07      6.91     0.66 14407200     0.00     0.00  glm::detail::compute_inverse<3, 3, float, (glm::qualifier)0, false>::call(glm::mat<3, 3, float, (glm::qualifier)0> const&)
  1.71      7.46     0.55 14407200     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::grid_id(glm::vec<3, float, (glm::qualifier)0>) const
  1.68      7.99     0.54 30387152     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::col_type glm::operator*<float, (glm::qualifier)0>(glm::mat<3, 3, float, (glm::qualifier)0> const&, glm::mat<3, 3, float, (glm::qualifier)0>::row_type const&)
  1.66      8.52     0.53 1166865168     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::length()
  1.65      9.04     0.53 36045000     0.00     0.00  rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > >::operator()(int, si::units<2, 0, 0, 0, 0, 0, 0, float>, rock::StratumStore<2> const&) const
  1.54      9.54     0.49 89417888     0.00     0.00  glm::detail::compute_dot<glm::vec<3, float, (glm::qualifier)0>, float, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  1.49     10.01     0.47 209007000     0.00     0.00  si::units<-3, 1, 0, 0, 0, 0, 0, float>::operator*(float) const
  1.32     10.43     0.42 43355521     0.00     0.00  glm::detail::compute_cross<float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  1.25     10.83     0.40 36580516     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  1.22     11.22     0.39 47367007     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
