Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.41      6.99     6.99 4044637167     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  4.38     12.64     5.66 4035137664     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::operator[](int) const
  2.46     15.82     3.18 57607200     0.00     0.00  glm::detail::compute_inverse<3, 3, float, (glm::qualifier)0, false>::call(glm::mat<3, 3, float, (glm::qualifier)0> const&)
  2.45     18.98     3.16 308114688     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> dymaxion::cartesian_from_zlon<float>(float, float)
  2.34     22.00     3.02 367362629     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  2.12     24.74     2.73 4563195663     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::length()
  2.05     27.39     2.65 1391533134     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  1.99     29.95     2.56 4668881664     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::length()
  1.70     32.16     2.20 57607200     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::grid_id(glm::vec<3, float, (glm::qualifier)0>) const
  1.63     34.26     2.10 121900096     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::col_type glm::operator*<float, (glm::qualifier)0>(glm::mat<3, 3, float, (glm::qualifier)0> const&, glm::mat<3, 3, float, (glm::qualifier)0>::row_type const&)
  1.55     36.26     2.00 836028000     0.00     0.00  si::units<-3, 1, 0, 0, 0, 0, 0, float>::operator*(float) const
