Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.66      6.35     6.35 619031235     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> dymaxion::cartesian_from_zlon<float>(float, float)
  5.12     12.10     5.75 697843065     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
  4.79     17.48     5.38 561590153     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  4.44     22.46     4.99 542606338     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  4.13     27.10     4.64 2985614189     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  3.89     31.46     4.36 2637458808     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  3.60     35.51     4.04 2635087305     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::operator[](int) const
  3.19     39.08     3.58 211138945     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::col_type glm::operator*<float, (glm::qualifier)0>(glm::mat<3, 3, float, (glm::qualifier)0> const&, glm::mat<3, 3, float, (glm::qualifier)0>::row_type const&)
  2.42     41.80     2.72 182331745     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::sphere_position(dymaxion::Point<int, float, (glm::qualifier)0>) const
  2.25     44.33     2.53 808598023     0.00     0.00  auto math::residue<int, int>(int const&, int const&)
  1.85     46.41     2.08 212033101     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
