Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 47.41      1.74     1.74 14407200     0.00     0.00  Projection::grid_id
 13.62      2.24     0.50                             main
 13.08      2.72     0.48      801     0.60     0.60  CrustSummarization
 11.04      3.12     0.41 77072850     0.00     0.00  cartesian_from_zlon
  4.63      3.29     0.17 28860753     0.00     0.00  glm::normalize(vec3)
  1.63      3.35     0.06 58664252     0.00     0.00  glm::min(int,int)
  1.36      3.40     0.05  7200000     0.00     0.00  mat3 multiplication
  1.36      3.46     0.05    99000     0.00     0.00  ValueNoise
  1.09      3.50     0.04  1678950     0.00     0.00  Projection::sphere_position 
  0.82      3.52     0.03 29849852     0.00     0.00  int glm::max<int>(int, int)
  0.54      3.54     0.02 31190400     0.00     0.00  glm::min(float,float)
  0.54      3.56     0.02  7200000     0.00     0.00  dymaxion::Indexing<int, float, (glm::qualifier)0>::memory_id_when_standard(dymaxion::Point<int, int, (glm::qualifier)0>) 
  0.54      3.58     0.02   369226     0.00     0.00  Projection::standardize
  0.54      3.60     0.02     1204     0.02     0.02  glm::rotate
  0.27      3.62     0.01 31190400     0.00     0.00  float glm::max<float>(float, float)
  0.27      3.62     0.01  2673000     0.00     0.00  std::floor(float)
  0.27      3.63     0.01   297000     0.00     0.00  Grid::arrow_dual_length 
  0.27      3.65     0.01        8     1.25    11.76  VectorCalculusByFundamentalTheorem::gradient(bools)
  0.27      3.65     0.01        3     3.33     3.33  CrustSummary constructor
  0.27      3.67     0.01                             _init
  0.14      3.67     0.01       10     0.50     0.71  SquareBuffers::storeTriangleStrips 
  0.00      3.67     0.00  2376000     0.00     0.00  glm::abs(int)
  0.00      3.67     0.00   738452     0.00     0.00  glm::abs(float)
  0.00      3.67     0.00   288000     0.00     0.00  std::_Bit_const_iterator::operator[](long) 
  0.00      3.67     0.00   144000     0.00     0.00  std::_Bit_iterator::operator[](long) 
  0.00      3.67     0.00    81800     0.00     0.00  glm::length(vec3)
  0.00      3.67     0.00    81000     0.00     0.00  Indexing::grid_id 
  0.00      3.67     0.00    72000     0.00     0.00  glm::cross(vec3)
  0.00      3.67     0.00    72000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      3.67     0.00    36226     0.00     0.00  Indexing::memory_id
  0.00      3.67     0.00    27000     0.00     0.00  VertexDownsamplingIds
  0.00      3.67     0.00    18000     0.00     0.00  rock::MineralStore::pack(rock::Mineral &)
  0.00      3.67     0.00    11521     0.00     0.00  Voronoi::sphere_position 
  0.00      3.67     0.00    11250     0.00     0.00  Grid::vertex_dual_area 
  0.00      3.67     0.00     9000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
  0.00      3.67     0.00     9000     0.00     0.00  rock::StratumForAreaAndElevation<relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<0, 0, 1, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<-2, 1, 0, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, double, 0, 1> >(si::units<2, 0, 0, 0, 0, 0, 0, double>, si::units<1, 0, 0, 0, 0, 0, 0, double>) 
  0.00      3.67     0.00     3341     0.00     0.00  void unlayered::NeighborBasedFloodFilling<int, float, rock::CrustIsUnfractured<float, (glm::qualifier)0>, rock::CrustDistancePriority<float, (glm::qualifier)0> >::advance<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<vec3, std::allocator<vec3 > >, std::vector<bool, std::allocator<bool> > >(dymaxion::GridCache<int, float, (glm::qualifier)0> &, std::vector<vec3, std::allocator<vec3 > > &, std::vector<bool, std::allocator<bool> >&, unlayered::FloodFillState<int, float>&) 
  0.00      3.67     0.00     2133     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> >)
  0.00      3.67     0.00     2020     0.00     0.00  vec4 glm::operator*<float, (glm::qualifier)0>(vec4 &, float &)
  0.00      3.67     0.00     1606     0.00     0.00  std::_Vector_base<vec3, std::allocator<vec3 > >::~_Vector_base()
  0.00      3.67     0.00     1601     0.00     0.00  std::vector<vec3, std::allocator<vec3 > >::vector(std::vector<vec3, std::allocator<vec3 > > &)
  0.00      3.67     0.00     1600     0.00     0.00  bool iterated::compatible<procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > >, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > >(procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > > &, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&)
  0.00      3.67     0.00      801     0.00     0.00  bool iterated::compatible<std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > >, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> >, std::vector<float, std::allocator<float> > >(std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > &, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> > &, std::vector<float, std::allocator<float> >&)
  0.00      3.67     0.00      800     0.00     0.00  void view::ColorscaleSurfaceShaderProgram::draw<float>(std::vector<vec3, std::allocator<vec3 > > &, std::vector<float, std::allocator<float> > &, std::vector<float, std::allocator<float> > &, std::vector<float, std::allocator<float> > &, std::vector<std::byte, std::allocator<std::byte> > &, std::vector<unsigned int, std::allocator<unsigned int> > &, view::ColorscaleSurfacesViewState &, mat4, view::ViewState &, unsigned int)
