Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.00      1.65     1.65 14407200     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::grid_id(glm::vec<3, float, (glm::qualifier)0>) const
 16.14      2.37     0.72 14850676     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::standardize(dymaxion::Point<int, float, (glm::qualifier)0>) const
 12.78      2.94     0.57      801     0.71     0.71  void rock::CrustSummarization<2, 5, rock::FormationSummarization<rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > > >, rock::CrustSummaryOps>::operator()<dymaxion::GridCache<int, float, (glm::qualifier)0> >(dymaxion::GridCache<int, float, (glm::qualifier)0> const&, int, std::array<std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > >, 5ul> const&, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&, std::vector<rock::StratumSummary, std::allocator<rock::StratumSummary> >&) const
 11.43      3.45     0.51 77072850     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> dymaxion::cartesian_from_zlon<float>(float, float)
  9.87      3.89     0.44                             main
  4.48      4.09     0.20 14850676     0.00     0.00  dymaxion::Indexing<int, float, (glm::qualifier)0>::memory_id(dymaxion::Point<int, int, (glm::qualifier)0>) const
  1.57      4.16     0.07 29701352     0.00     0.00  float glm::abs<float>(float)
  1.57      4.23     0.07  1678950     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::sphere_position(dymaxion::Point<int, float, (glm::qualifier)0>) const
  1.12      4.28     0.05                             _init
  0.90      4.32     0.04  7207349     0.00     0.00  glm::detail::compute_normalize<3, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&)
  0.90      4.36     0.04    99000     0.00     0.00  float field::ValueNoise<3, float, field::MosaicNoise<procedural::GaussianNoise<procedural::UnitIntervalNoise<float> >, cartesian::UnboundedIndexing<int, (glm::qualifier)0> >, field::VectorMosaicOps<3, int, float, (glm::qualifier)0>, (glm::qualifier)0>::operator()<glm::vec<3, float, (glm::qualifier)0> >(glm::vec<3, float, (glm::qualifier)0>) const
  0.45      4.38     0.02 58664252     0.00     0.00  int glm::min<int>(int, int)
  0.45      4.40     0.02 31190400     0.00     0.00  float glm::max<float>(float, float)
  0.45      4.42     0.02  2673000     0.00     0.00  std::floor(float)
  0.22      4.43     0.01   297000     0.00     0.00  dymaxion::Grid<int, float, (glm::qualifier)0>::arrow_dual_length(int, int) const
  0.22      4.44     0.01       45     0.22     0.22  std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > >::vector(std::vector<rock::StratumStore<2>, std::allocator<rock::StratumStore<2> > > const&)
  0.22      4.45     0.01        8     1.25    16.58  void unlayered::VectorCalculusByFundamentalTheorem::gradient<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<bool, std::allocator<bool> >, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > >(dymaxion::GridCache<int, float, (glm::qualifier)0> const&, std::vector<bool, std::allocator<bool> > const&, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >&) const
  0.11      4.46     0.01    81000     0.00     0.00  dymaxion::Indexing<int, float, (glm::qualifier)0>::grid_id(int) const
  0.11      4.46     0.01        1     5.00     5.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      4.46     0.00 31190400     0.00     0.00  float glm::min<float>(float, float)
  0.00      4.46     0.00 29849852     0.00     0.00  int glm::max<int>(int, int)
  0.00      4.46     0.00  2376000     0.00     0.00  int glm::abs<int>(int)
  0.00      4.46     0.00   288000     0.00     0.00  std::_Bit_const_iterator::operator[](long) const
  0.00      4.46     0.00   144000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      4.46     0.00    81000     0.00     0.00  glm::detail::compute_length<3, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      4.46     0.00    72000     0.00     0.00  glm::detail::compute_cross<float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      4.46     0.00    27000     0.00     0.00  dymaxion::VertexDownsamplingIds<int, float>::call(unsigned long) const
  0.00      4.46     0.00    18000     0.00     0.00  rock::MineralStore::pack(rock::Mineral const&)
  0.00      4.46     0.00    11250     0.00     0.00  dymaxion::Grid<int, float, (glm::qualifier)0>::vertex_dual_area(int) const
  0.00      4.46     0.00     9000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary const&, rock::StratumSummary const&) const
  0.00      4.46     0.00     9000     0.00     0.00  rock::StratumForAreaAndElevation<relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<0, 0, 1, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<-2, 1, 0, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, double, 0, 1> >::operator()(si::units<2, 0, 0, 0, 0, 0, 0, double>, si::units<1, 0, 0, 0, 0, 0, 0, double>) const
  0.00      4.46     0.00     9000     0.00     0.00  dymaxion::Voronoi<int, float, (glm::qualifier)0>::sphere_position(dymaxion::Point<int, int, (glm::qualifier)0>) const
  0.00      4.46     0.00     3341     0.00     0.00  void unlayered::NeighborBasedFloodFilling<int, float, rock::CrustIsUnfractured<float, (glm::qualifier)0>, rock::CrustDistancePriority<float, (glm::qualifier)0> >::advance<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >, std::vector<bool, std::allocator<bool> > >(dymaxion::GridCache<int, float, (glm::qualifier)0> const&, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > const&, std::vector<bool, std::allocator<bool> >&, unlayered::FloodFillState<int, float>&) const
  0.00      4.46     0.00     2133     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> >)
  0.00      4.46     0.00     1601     0.00     0.00  std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::vector(std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > const&)
  0.00      4.46     0.00     1600     0.00     0.00  bool iterated::compatible<procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > >, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > >(procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > > const&, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&)
  0.00      4.46     0.00     1204     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0> glm::rotate<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, float, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      4.46     0.00      806     0.00     0.00  std::_Vector_base<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > >::~_Vector_base()
  0.00      4.46     0.00      801     0.00     0.00  bool iterated::compatible<std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > >, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> >, std::vector<float, std::allocator<float> > >(std::vector<si::units<-1, 1, -2, 0, 0, 0, 0, float>, std::allocator<si::units<-1, 1, -2, 0, 0, 0, 0, float> > > const&, procedural::Uniform<si::units<-1, 1, -2, 0, 0, 0, 0, float> > const&, std::vector<float, std::allocator<float> >&)
  0.00      4.46     0.00      800     0.00     0.00  void view::ColorscaleSurfaceShaderProgram::draw<float>(std::vector<glm::vec<3, float, (glm::qualifier)0>, std::allocator<glm::vec<3, float, (glm::qualifier)0> > > const&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, std::vector<float, std::allocator<float> > const&, std::vector<std::byte, std::allocator<std::byte> > const&, std::vector<unsigned int, std::allocator<unsigned int> > const&, view::ColorscaleSurfacesViewState const&, glm::mat<4, 4, float, (glm::qualifier)0>, view::ViewState const&, unsigned int)
