Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.00      1.65     1.65 14407200     0.00     0.00  Projection::grid_id
 16.14      2.37     0.72 14850676     0.00     0.00  Projection::standardize
 12.78      2.94     0.57      801     0.71     0.71  CrustSummarization
 11.43      3.45     0.51 77072850     0.00     0.00  cartesian_from_zlon
  9.87      3.89     0.44                             main
  4.48      4.09     0.20 14850676     0.00     0.00  Indexing::memory_id
  1.57      4.16     0.07 29701352     0.00     0.00  glm::abs(float)
  1.57      4.23     0.07  1678950     0.00     0.00  Projection::sphere_position 
  1.12      4.28     0.05                             _init
  0.90      4.32     0.04  7207349     0.00     0.00  glm::normalize(vec3)
  0.90      4.36     0.04    99000     0.00     0.00  ValueNoise
  0.45      4.38     0.02 58664252     0.00     0.00  glm::min(int,int)
  0.45      4.40     0.02 31190400     0.00     0.00  float glm::max<float>(float, float)
  0.45      4.42     0.02  2673000     0.00     0.00  std::floor(float)
  0.22      4.43     0.01   297000     0.00     0.00  Grid::arrow_dual_length 
  0.22      4.44     0.01       45     0.22     0.22  Crust constructor 1
  0.22      4.45     0.01        8     1.25    16.58  VectorCalculusByFundamentalTheorem::gradient(bools)
  0.11      4.46     0.01    81000     0.00     0.00  Indexing::grid_id 
  0.11      4.46     0.01        1     5.00     5.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      4.46     0.00 31190400     0.00     0.00  glm::min(float,float)
  0.00      4.46     0.00 29849852     0.00     0.00  int glm::max<int>(int, int)
  0.00      4.46     0.00  2376000     0.00     0.00  glm::abs(int)
  0.00      4.46     0.00   288000     0.00     0.00  std::_Bit_const_iterator[](long) 
  0.00      4.46     0.00   144000     0.00     0.00  std::_Bit_iterator[](long) 
  0.00      4.46     0.00    81000     0.00     0.00  glm::length(vec3)
  0.00      4.46     0.00    72000     0.00     0.00  glm::cross(vec3)
  0.00      4.46     0.00    27000     0.00     0.00  VertexDownsamplingIds
  0.00      4.46     0.00    18000     0.00     0.00  rock::MineralStore::pack(rock::Mineral &)
  0.00      4.46     0.00    11250     0.00     0.00  Grid::vertex_dual_area 
  0.00      4.46     0.00     9000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary &, rock::StratumSummary &) 
  0.00      4.46     0.00     9000     0.00     0.00  rock::StratumForAreaAndElevation<relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<0, 0, 1, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, si::units<-2, 1, 0, 0, 0, 0, 0, double>, 0, 1>, relation::PolynomialRailyardRelation<si::units<1, 0, 0, 0, 0, 0, 0, double>, double, 0, 1> >()(si::units<2, 0, 0, 0, 0, 0, 0, double>, si::units<1, 0, 0, 0, 0, 0, 0, double>) 
  0.00      4.46     0.00     9000     0.00     0.00  Voronoi::sphere_position 
  0.00      4.46     0.00     3341     0.00     0.00  void unlayered::NeighborBasedFloodFilling<int, float, rock::CrustIsUnfractured<float, (glm::qualifier)0>, rock::CrustDistancePriority<float, (glm::qualifier)0> >::advance<dymaxion::GridCache<int, float, (glm::qualifier)0>, std::vector<vec3, std::allocator<vec3 > >, std::vector<bool, std::allocator<bool> > >(dymaxion::GridCache<int, float, (glm::qualifier)0> &, std::vector<vec3, std::allocator<vec3 > > &, std::vector<bool, std::allocator<bool> >&, unlayered::FloodFillState<int, float>&) 
  0.00      4.46     0.00     2133     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> > >(__gnu_cxx::__normal_iterator<std::pair<int, float>*, std::vector<std::pair<int, float>, std::allocator<std::pair<int, float> > > >, long, long, std::pair<int, float>, __gnu_cxx::__ops::_Iter_comp_iter<unlayered::FloodFillCandidateComparison<int, float> >)
  0.00      4.46     0.00     1601     0.00     0.00  std::vector<vec3, std::allocator<vec3 > >::vector(std::vector<vec3, std::allocator<vec3 > > &)
  0.00      4.46     0.00     1600     0.00     0.00  bool iterated::compatible<procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > >, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> > >(procedural::Map<field::Compose<dymaxion::NearestVertexId<int, float>, field::Affinity<3, 3, float, (glm::qualifier)0> >, std::vector<vec3, std::allocator<vec3 > > > &, std::vector<rock::ColumnSummary, std::allocator<rock::ColumnSummary> >&)
  0.00      4.46     0.00     1204     0.00     0.00  glm::rotate
  0.00      4.46     0.00      806     0.00     0.00  std::_Vector_base<vec3, std::allocator<vec3 > >::~_Vector_base()
