Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  5.29      1.78     1.78 1011583653     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  4.96      3.46     1.68 1009212150     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::operator[](int) const
  2.93      4.45     0.99 77072850     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> dymaxion::cartesian_from_zlon<float>(float, float)
  2.82      5.40     0.95 14407200     0.00     0.00  glm::detail::compute_inverse<3, 3, float, (glm::qualifier)0, false>::call(glm::mat<3, 3, float, (glm::qualifier)0> const&)
  2.64      6.29     0.89 91892886     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  2.25      7.05     0.76 1141342149     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::length()
  2.10      7.76     0.71 1167756150     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::length()
  1.96      8.42     0.66 14407200     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::grid_id(glm::vec<3, float, (glm::qualifier)0>) const
  1.90      9.06     0.64 36045000     0.00     0.00  rock::StratumSummarization<2, rock::AgedStratumDensity<std::array<relation::PolynomialRailyardRelation<si::units<0, 0, 1, 0, 0, 0, 0, double>, si::units<-3, 1, 0, 0, 0, 0, 0, double>, 0, 1>, 2ul> > >::operator()(int, si::units<2, 0, 0, 0, 0, 0, 0, float>, rock::StratumStore<2> const&) const
  1.81      9.67     0.61 348083382     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  1.41     10.14     0.47 209007000     0.00     0.00  si::units<-3, 1, 0, 0, 0, 0, 0, float>::operator*(float) const
  1.38     10.61     0.47 195559323     0.00     0.00  si::units<1, 0, 0, 0, 0, 0, 0, float>::operator*(float) const
  1.36     11.07     0.46 30486150     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::col_type glm::operator*<float, (glm::qualifier)0>(glm::mat<3, 3, float, (glm::qualifier)0> const&, glm::mat<3, 3, float, (glm::qualifier)0>::row_type const&)
  1.33     11.52     0.45 153567000     0.00     0.00  rock::StratumSummary::StratumSummary(rock::StratumSummary const&)
  1.29     11.96     0.43 86499000     0.00     0.00  rock::StratumSummary::StratumSummary(std::bitset<8ul>, si::units<-3, 1, 0, 0, 0, 0, 0, float>, si::units<1, 0, 0, 0, 0, 0, 0, float>)
  1.20     12.36     0.41 47493003     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
  1.16     12.75     0.39 209007000     0.00     0.00  auto si::operator*<-3, 1, 0, 0, 0, 0, 0, float, unsigned int>(unsigned int, si::units<-3, 1, 0, 0, 0, 0, 0, float>)
  1.16     13.14     0.39 14850676     0.00     0.00  dymaxion::Projection<int, float, (glm::qualifier)0>::standardize(dymaxion::Point<int, float, (glm::qualifier)0>) const
  1.13     13.52     0.38 44257052     0.00     0.00  glm::detail::functor2<glm::vec, 2, int, (glm::qualifier)0>::call(int (*)(int, int), glm::vec<2, int, (glm::qualifier)0> const&, glm::vec<2, int, (glm::qualifier)0> const&)
  1.11     13.89     0.38 122117402     0.00     0.00  auto math::residue<int, int>(int const&, int const&)
  1.10     14.27     0.37 121181402     0.00     0.00  auto math::modulus<int, int>(int const&, int const&)
  0.96     14.59     0.33 188359323     0.00     0.00  auto si::operator*<1, 0, 0, 0, 0, 0, 0, float, float>(float, si::units<1, 0, 0, 0, 0, 0, 0, float>)
  0.89     14.89     0.30 266679000     0.00     0.00  si::units<-3, 1, 0, 0, 0, 0, 0, float>::units(float)
  0.89     15.19     0.30 209007000     0.00     0.00  rock::StratumSummary::density() const
  0.89     15.49     0.30 60986700     0.00     0.00  dymaxion::Squares<int, float, (glm::qualifier)0>::westmost(int) const
  0.87     15.79     0.29 89516886     0.00     0.00  glm::detail::compute_dot<glm::vec<3, float, (glm::qualifier)0>, float, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.87     16.08     0.29 36778512     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.86     16.37     0.29 282058329     0.00     0.00  si::units<1, 0, 0, 0, 0, 0, 0, float>::units(float)
  0.83     16.65     0.28 29701352     0.00     0.00  glm::vec<2, bool, (glm::qualifier)0> glm::lessThan<2, float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.83     16.93     0.28 29259974     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.82     17.20     0.28 50445000     0.00     0.00  rock::ColumnSummaryOps::absorb(rock::ColumnSummary const&, rock::StratumSummary const&) const
  0.80     17.48     0.27 43355521     0.00     0.00  glm::detail::compute_cross<float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.80     17.75     0.27 28814400     0.00     0.00  glm::detail::functor2<glm::vec, 2, float, (glm::qualifier)0>::call(float (*)(float, float), glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.79     18.01     0.27 121181402     0.00     0.00  auto math::residue<double, int>(double const&, int const&)
  0.77     18.27     0.26 50454000     0.00     0.00  rock::StratumSummaryOps::combine(rock::StratumSummary const&, rock::StratumSummary const&) const
  0.77     18.53     0.26 31380302     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  0.76     18.79     0.26 100908000     0.00     0.00  si::units<(-3)+(1), (1)+(0), (0)+(0), (0)+(0), (0)+(0), (0)+(0), (0)+(0), float> si::units<-3, 1, 0, 0, 0, 0, 0, float>::operator*<1, 0, 0, 0, 0, 0, 0>(si::units<1, 0, 0, 0, 0, 0, 0, float>) const
  0.74     19.04     0.25 178208112     0.00     0.00  glm::vec<2, float, (glm::qualifier)0>::operator[](int) const
